state,year,death_rate_per_100k
Alabama,2018.0,18.218626847706012
Alabama,2019.0,18.258440922325256
Alabama,2020.0,22.932442362424506
Alabama,2021.0,29.96939027913618
Alabama,2022.0,30.080124208362374
Alabama,2023.0,36.49704355565955
Alaska,2018.0,17.213251357155443
Alaska,2019.0,18.48790732889418
Alaska,2020.0,21.733121038639478
Alaska,2021.0,34.652096146927185
Alaska,2022.0,33.29663759857728
Alaska,2023.0,40.9225482321884
Arizona,2018.0,21.30587430148877
Arizona,2019.0,24.743377445093564
Arizona,2020.0,32.52195429248884
Arizona,2021.0,35.590266582719224
Arizona,2022.0,41.12190098281497
Arizona,2023.0,36.89070784509324
Arkansas,2018.0,18.758873626318117
Arkansas,2019.0,15.830509478034283
Arkansas,2020.0,21.064227107690122
Arkansas,2021.0,23.775727664410603
Arkansas,2022.0,23.906327249704947
Arkansas,2023.0,20.1906695098936
California,2018.0,17.066175753573887
California,2019.0,20.53544580559978
California,2020.0,25.14980528659088
California,2021.0,32.66005695059733
California,2022.0,35.47982180581636
California,2023.0,36.74011818713828
Colorado,2018.0,17.60892864539735
Colorado,2019.0,19.49956109765854
Colorado,2020.0,25.159313356273593
Colorado,2021.0,36.576354613868354
Colorado,2022.0,32.28118856664274
Colorado,2023.0,31.294650076437453
Connecticut,2018.0,33.11883933296499
Connecticut,2019.0,36.08556703095285
Connecticut,2020.0,39.6775531077419
Connecticut,2021.0,41.696476398934976
Delaware,2018.0,39.40892001258444
Delaware,2019.0,42.61189001845179
Delaware,2020.0,43.84893035392031
Delaware,2021.0,49.80090351761938
Delaware,2022.0,52.635416816213024
Delaware,2023.0,51.96730203670578
District of Columbia,2018.0,36.15889985835391
District of Columbia,2019.0,44.06665825952286
District of Columbia,2020.0,59.48239096765505
District of Columbia,2021.0,67.1591672263264
District of Columbia,2022.0,67.132775530922
District of Columbia,2023.0,62.88919130685802
Florida,2018.0,22.683623245968096
Florida,2019.0,24.498452227703485
Florida,2020.0,33.16218431687299
Florida,2021.0,38.21092806198482
Florida,2022.0,35.88374906172576
Florida,2023.0,32.88925308027433
Georgia,2018.0,16.88612211096385
Georgia,2019.0,16.092646596925547
